"DATE","NUMBER","CUSTOMERS","KGS NETTO","PEMBELIAN"
"29-Mar-22","10/MMP-PE-TSJ/III/2022","TOHO BUSSAN KAISHA, LTD.","6,177.60","Debit"
"30-Mar-22","8/MMP-NCR/III/2022","NICHIREI FRESH INC.","15,188.00","Debit"
"30-Mar-22","7/MMP-PE-OKY/III/2022","OKAYA AND CO., LTD","13,464.00","Cek"
"2-Apr-22","6/MMP-PE-MRH/IV/2022","MARUHA NICHIRO CORPORATION","6,350.40","Debit"
"4-Apr-22","2/MMP-FS-NCR/IV/2022(S)","NICHIREI FRESH INC.","42.65","Debit"
"4-Apr-22","13/MMP-PDNCR/IV/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"4-Apr-22","14/MMP-PDNCR/IV/2022","NICHIREI FRESH INC.","15,070.00","Cek"
"4-Apr-22","4/MMP-SC-PE/IV/2022","TOHO BUSSAN KAISHA, LTD.","5,967.00","Debit"
"6-Apr-22","4/MMP-PE-TYR/IV/2022","TOYO REIZO CO., LTD","2,246.40","Debit"
"6-Apr-22","7/MMP-PE-MRH/IV/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"9-Apr-22","15/MMP-PDNCR/IV/2022","NICHIREI FRESH INC.","13,608.00","Debit"
"9-Apr-22","7/MMP-KN/IV/2022","TOHO BUSSAN KAISHA, LTD.","1,644.00","Debit"
"9-Apr-22","2/MMP-EC-PE/IV/2022","TOHO BUSSAN KAISHA, LTD.","1,920.00","Debit"
"9-Apr-22","2/MMP-PE-MAR/IV/2022","TOHO BUSSAN KAISHA, LTD.","1,440.00","Debit"
"9-Apr-22","3/MMP-NPE/IV/2022","TOHO BUSSAN KAISHA, LTD.","7,820.00","Debit"
"11-Apr-22","1/MMP-MRHN/IV/2022(S)","MARUHA NICHIRO CORPORATION","2.67","Debit"
"11-Apr-22","6/MMP-SQ-TW/IV/2022","SEA QUEENLET/ORIENT","15,242.40","Cek"
"11-Apr-22","6/MMP-SQ-TR/IV/2022","SEA QUEENLET/ORIENT","176.00","Debit"
"11-Apr-22","7/MMP-JCU-PD/IV/2022","TOHO BUSSAN KAISHA, LTD.","2,730.00","Debit"
"11-Apr-22","10/MMP-JCU-PE/IV/2022","TOHO BUSSAN KAISHA, LTD.","7,308.00","Debit"
"11-Apr-22","8/MMP-TBK-PM/IV/2022","TOHO BUSSAN KAISHA, LTD.","143.09","Debit"
"12-Apr-22","4/MMP-NP-SM/IV/2022","TOHO BUSSAN KAISHA, LTD.","5,296.00","Debit"
"12-Apr-22","4/MMP-PE-DNS/IV/2022","TOHO BUSSAN KAISHA, LTD.","4,173.12","Debit"
"13-Apr-22","9/MMP-NCR/IV/2022","NICHIREI FRESH INC.","3,195.12","Debit"
"13-Apr-22","9/MMP-NCP/IV/2022","NICHIREI FRESH INC.","11,733.60","Cek"
"13-Apr-22","9/MMP-NCS/IV/2022","NICHIREI FRESH INC.","92.16","Debit"
"13-Apr-22","16/MMP-PDNCR/IV/2022","NICHIREI FRESH INC.","15,100.00","Cek"
"13-Apr-22","8/MMP-PE-OKY/IV/2022","OKAYA AND CO., LTD","13,600.00","Debit"
"16-Apr-22","2/MMP-PE-MK/IV/2022","TOHO BUSSAN KAISHA, LTD.","1,610.00","Debit"
"16-Apr-22","11/MMP-PE-TSJ/IV/2022","TOHO BUSSAN KAISHA, LTD.","3,840.00","Debit"
"16-Apr-22","12/MMP-PE-TSJ/IV/2022","TOHO BUSSAN KAISHA, LTD.","5,508.00","Debit"
"16-Apr-22","8/MMP-JCU-PD/IV/2022","TOHO BUSSAN KAISHA, LTD.","2,145.00","Debit"
"16-Apr-22","11/MMP-JCU-PE/IV/2022","TOHO BUSSAN KAISHA, LTD.","7,308.00","Debit"
"16-Apr-22","8/MMP-PE-MRH/IV/2022","MARUHA NICHIRO CORPORATION","6,350.40","Debit"
"18-Apr-22","17/MMP-PDNCR/IV/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"18-Apr-22","4/MMP-PE-YCY/IV/2022","YACHIYO CORPORATION","8,688.00","Debit"
"19-Apr-22","3/MMP-JCCU/IV/2022(S)","JAPANESE CONSUMERS CO-OPERATIVE","3.25","Debit"
"19-Apr-22","12/MMP-JCU-PE/IV/2022","TOHO BUSSAN KAISHA, LTD.","8,556.00","Debit"
"20-Apr-22","13/MMP-PE-TSJ/IV/2022","TOHO BUSSAN KAISHA, LTD.","6,177.60","Debit"
"20-Apr-22","10/MMP-NCR/IV/2022","NICHIREI FRESH INC.","1,121.00","Debit"
"20-Apr-22","10/MMP-NCP/IV/2022","NICHIREI FRESH INC.","14,796.96","Cek"
"22-Apr-22","5/PMM-NCR-USA/IV/2022","AN DERINGER, USA","12,277.60","Debit"
"25-Apr-22","14/MMP-PE-TSJ/IV/2022","TOHO BUSSAN KAISHA, LTD.","4,608.00","Debit"
"","15/MMP-PE-TSJ/IV/2022","TOHO BUSSAN KAISHA, LTD.","5,618.16","Debit"
"25-Apr-22","13/MMP-JCU-PE/IV/2022","TOHO BUSSAN KAISHA, LTD.","8,869.44","Debit"
"25-Apr-22","9/MMP-PE-OKY/IV/2022","OKAYA AND CO., LTD","16,048.00","Cek"
"25-Apr-22","11/MMP-NCR/IV/2022","NICHIREI FRESH INC.","3,060.00","Debit"
"25-Apr-22","11/MMP-NCP/IV/2022","NICHIREI FRESH INC.","12,624.00","Cek"
"25-Apr-22","8/MMP-KN/IV/2022","TOHO BUSSAN KAISHA, LTD.","6,264.00","Debit"
"25-Apr-22","4/MMP-NPE/IV/2022","TOHO BUSSAN KAISHA, LTD.","5,848.00","Debit"
"25-Apr-22","18/MMP-PDNCR/IV/2022","NICHIREI FRESH INC.","15,100.00","Cek"
"9-May-22","19/MMP-PDNCR/V/2022","NICHIREI FRESH INC.","6,306.00","Debit"
"9-May-22","19/MMP-PDNCP/V/2022","NICHIREI FRESH INC.","8,400.00","Debit"
"9-May-22","3/MMP-FS-NCR/V/2022","NICHIREI FRESH INC.","30.00","Debit"
"9-May-22","20/MMP-PDNCR/V/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"10-May-22","5/MMP-PE-YCY/V/2022","YACHIYO CORPORATION","7,480.00","Debit"
"10-May-22","1/MMP-AQM-EU/V/2022","AQUAMARINE SEAFOOD BV","14,304.00","Cek"
"11-May-22","16/MMP-PE-TSJ/V/2022","TOHO BUSSAN KAISHA, LTD.","6,177.60","Debit"
"11-May-22","9/MMP-TBK-PM/V/2022","TOHO BUSSAN KAISHA, LTD.","117.28","Debit"
